,Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations,Patient_stories,Doctor_availability
1696,Dr. Subramoniam S,Dentist,20,Lakshmi Dental Care,Porur,Chennai,500,100,229, Today
1697,Dr. M.Srikanth,Dentist,22,Smile Solutions Family Dentistry,Chromepet,Chennai,500,98,585, Today
1698,Dr. M. Suresh,Dentist,11,M.S Multi Speciality Dental Clinic,Perumbakkam,Chennai,500,99,324, Today
1699,Dr. Prem Kumar,Dentist,16,Just Smile Dental & ENT Specialities,Madipakkam,Chennai,500,97,48, Today
1700,Dr. Mareeswari,Dentist,15,A2Z Dental Care,Pallikaranai,Chennai,500,99,164, Today
1701,Dr. N Sankar Ram Mithran,Dentist,15,Dr. Mithran's Multispeciality Dental Clinic,Chromepet,Chennai,500,98,113, Today
1702,Dr. Balajee. J,Dentist,11,Elite Dentistry,Anna Nagar West,Chennai,500,100,18, Today
1703,Dr. Saravanan,Dentist,15,Balamurugan Dental Clinic,Mylapore,Chennai,500,98,100, Today
1704,Dr. V.K.Vignesh,Dentist,7,VIGNESH'S DENTAL ZONE,Gowrivakkam,Chennai,150,100,84, Today
1705,Dr. Senthil Kumaran,Dentist,16,Dentall Care,Adambakkam,Chennai,300,99,113, Today
1707,Dr. Ankita Chauhan,Dentist,12,Sharan Hospital,Ghatkopar West,Mumbai,600,100,22, Today
1708,Dr. Deepkriti Gupta,Dentist,15,Shreeji Eye Clinic & Dental Care Centre,Mira Road,Mumbai,500,95,26, Today
1709,Dr. Desh Dixchha,Dentist,10,Clove Dental,Wanowrie,Pune,500,100,1, Today
1710,Dr. Meru Sethi,Dentist,23,Clove Dental,Viman Nagar,Pune,500,100,2, Today
1711,Dr. Jeena Nair,Dentist,25,Noble Hospital,Hadapsar,Pune,300,100,1, Today
1712,Dr. Gawande Pushkar,Dentist,22,Noble Hospital,Hadapsar,Pune,200,100,1, Today
1713,Dr. Girish Bykod,Dentist,25,Noble Hospital,Hadapsar,Pune,200,100,1, Today
1714,Dr. Dayanand Shirol,Dentist,25,Noble Hospital,Hadapsar,Pune,300,100,1, Today
1715,Dr. Akshay Raut,Dentist,16,Noble Hospital,Hadapsar,Pune,150,100,30, Today
1716,Dr. Nishu Bansal,Dentist,11,Clove Dental,Adarsh Nagar,Delhi,500,100,1, Today
1717,Dr. Sakshi Sharma,Dentist,18,Clove Dental,Model Town 2,Delhi,500,100,1, Today
1718,Dr. Sujit Pradhan,Dentist,11,Clove Dental,Shivalik,Delhi,500,100,1, Today
1719,Dr. Smriti Mehrotra,Dentist,10,Clove Dental,Kailash Colony,Delhi,500,100,5, Today
1720,Dr. Bhavani Ramesh Nair,Dentist,27,Clove Dental,Safdarjung Development Area,Delhi,500,100,1, Today
1721,Dr. Manish Kaushik,Dentist,10,Clove Dental,Dwarka Sector 7,Delhi,500,88,1, Today
1722,Dr. Ruchika Agarwal,Dentist,16,Clove Dental,IP Extension,Delhi,500,100,1, Today
1723,Dr. Geetika Maan,Dentist,17,Clove Dental,Dwarka Sector 5,Delhi,500,100,2, Today
1724,Dr. Nitika Bangia,Dentist,16,Clove Dental,Paschim Vihar,Delhi,500,100,1, Today
1725,Dr. Prerna Beniwal,Dentist,11,Clove Dental,Safdarjung Enclave,Delhi,500,100,1, Today
1894,Dr. Chetan Raj,Homoeopath,12,Dr. Chetan's Homeo Clinics,Begumpet,Hyderabad,51,97,306, Today
1929,Dr. Pallavi Jitendra Kulkarni,Homoeopath,21,The Harmony Classical Homeopathy Clinic,Hadapsar,Pune,1000,98,37, Today
2043,Dr. Aishwarya Radhakrishna,Dermatologist,15,Oliva Skin And Hair Clinic,Jayanagar 5 Block,Bangalore,600,91,46, Today
2044,Dr. Sujaya S.N.,Dermatologist,19,SurgiDerma Hospital,HRBR Layout,Bangalore,750,98,129, Today
2047,Dr. Jigisha N Jalu,Dermatologist,13,Vida Skin & Hair Transplant Clinic,Whitefield,Bangalore,700,98,30, Today
2049,Dr. Harish Prasad B.R,Dermatologist,16,Vitals Skin and Hair Klinic,BTM Layout,Bangalore,700,96,348, Today
2055,Dr. G L Sitara,Dermatologist,13,Dr Sitara Advanced Skin And Hair Clinic,Madinaguda,Hyderabad,500,97,287, Today
2056,Dr. Satish Erra,Homoeopath,14,Dr. Satish Erra's Homeopathy Clinic,Dilsukhnagar,Hyderabad,500,98,579, Today
2060,Dr. Spoorthy Nagineni,Dermatologist,10,Ambrosia Clinic,Banjara Hills,Hyderabad,700,99,59, Today
2061,Dr. Sirisha Yanegalla,Dermatologist,13,Derma 360,Kondapur,Hyderabad,600,97,159, Today
2064,Dr. Brahmananda Reddy,Dermatologist,11,Vernon Skin Laser Slimming Hair Clinic,Banjara Hills,Hyderabad,800,94,327, Today
2066,Dr. Jyothsna,Dermatologist,12,"Curves Cosmetic Surgery, Skin & Laser Clinic",Saligramam,Chennai,700,96,142, Today
2075,Dr. Snehalatha,Dermatologist,18,Nila Skin Care Clinic,Tambaram East,Chennai,750,92,234, Today
2081,Dr. Mithali Jage,Dermatologist,9,SkinAmour Clinic,Sion,Mumbai,1000,98,75, Today
2084,Dr. Suraj Shetty,Dermatologist,14,Tvaksh Advanced Skin And Hair Clinic,Andheri West,Mumbai,900,98,61, Today
2098,Dr. Shuhaib MP,Dermatologist,13,Milagro Med,Baner,Pune,500,98,102, Today
2099,Dr. Poonam Patil,Dermatologist,11,Dermaspace Skin Hair & Laser Clinic,Koregaon Park,Pune,600,93,94, Today
2103,Dr. Shruti Gupta,Dermatologist,13,SKINOS,Kamla Nagar,Delhi,1000,99,1532, Today
2104,Dr. Pranjal Joshi,Dermatologist,12,Varsity Skin And Wellness Clinic,Shivalik,Delhi,900,95,27, Today
2105,Dr. Monica Chahar,Dermatologist,13,Skin Decor,Dwarka Sector 19,Delhi,700,98,175, Today
2106,Dr. Kanu Verma,Dermatologist,21,Aastha Medicare,Dwarka,Delhi,1000,93,75, Today
2108,Dr. Ruchi Arora,Homoeopath,15,Afecto Homeopathy,Green Park,Delhi,500,89,16, Today
2109,Dr. Vijay Singhal,Dermatologist,18,Zenith Skin Hair & Dental Centre,Punjabi Bagh,Delhi,800,93,152, Today
2110,Dr. Urvashi Chandra,Dermatologist,17,Chandra Clinic,Pitampura,Delhi,800,97,16, Today
2115,Dr. Supra Paul,Homoeopath,22,Dr Batra's Positive Health Clinic Pvt Ltd,Minto Park,Kolkata,450,100,8, Today
2117,Dr. Shahid Shaikh,Homoeopath,18,Dr Batra's Positive Health Clinic Pvt Ltd,Salt Lake,Kolkata,450,100,1, Today
2119,Dr. Abhishek Chaturvedi,Homoeopath,12,Dr Batra's Positive Health Clinic Pvt Ltd,Behala,Kolkata,450,86,6, Today
2120,Dr. Anupam Das,Dermatologist,8,IRIS Hospital,Baghajatin,Kolkata,600,100,2, Today
2124,Dr. Sujaya S.N.,Dermatologist,19,SurgiDerma Hospital,HRBR Layout,Bangalore,750,98,129, Today
2125,Dr. Kisalay Saurav,Dermatologist,20,Dr. Saurav's Skin Clinic,Kalyan Nagar,Bangalore,700,93,115, Today
2126,Dr. Parthasarathi Dutta Roy,Dermatologist,20,Dr. Partha Sarathi's Asian Hair and Skin Hospitals,MG Road,Bangalore,700,89,1314, Today
2127,Dr. Jigisha N Jalu,Dermatologist,13,Vida Skin & Hair Transplant Clinic,Whitefield,Bangalore,700,98,30, Today
2128,Dr. Asmita Dhekne Chebbi,Dermatologist,14,Apollo Spectra Hospitals,Koramangala 5 Block,Bangalore,600,98,254, Today
2129,Dr. Harish Prasad B.R,Dermatologist,16,Vitals Skin and Hair Klinic,BTM Layout,Bangalore,700,96,348, Today
2130,Dr. Juvita Rasquinha,Dermatologist,18,"Dr. Juvita's Aesthetics Skin, Hair and Cosmetology Clinic",Indiranagar,Bangalore,500,91,458, Today
2131,Dr. Jaya Sathvika Varre,Dermatologist,10,Oliva Skin & Hair Clinic,HRBR Layout,Bangalore,600,94,45, Today
2132,Dr. Deepak Devakar,Dermatologist,19,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98,580, Today
2133,Dr. Varsha.R,Dermatologist,12,DermaZeal Clinic,HSR Layout,Bangalore,1000,95,209, Today
2136,Dr. Soumya Podduturi,Dermatologist,13,Dr. Soumya's Aria Skin & Hair Clinic,Kompally,Hyderabad,600,96,204, Today
2137,Dr. Venu Kumari,Dermatologist,18,Dr. Venus Insititue of Skin & Hair,Chanda Nagar,Hyderabad,500,86,917, Today
2138,Dr. Madhavi Pudi,Dermatologist,16,Dr. Madhavis Advanced Skin Hair and Laser Clinic,Balkampet,Hyderabad,800,91,554, Today
2139,Dr. Sruthi Alla,Dermatologist,12,NYRA SKIN & HAIR CLINIC,Madhapur,Hyderabad,750,97,310, Today
2140,Dr. Sruthi Gondi,Dermatologist,13,Science Of Skin,Secunderabad,Hyderabad,700,93,179, Today
2141,Dr. Radha Penumatsa,Dermatologist,10,Veda Skin & Hair Clinic,Kompally,Hyderabad,500,100,17, Today
2142,Dr. Shravya G,Dermatologist,17,Anceita Skin and Hair Clinic,Jubilee Hills,Hyderabad,800,92,203, Today
2143,Dr. Ishani Chakravarty,Dermatologist,20,"Aviva Skin, Laser & Hair Clinic",Secunderabad,Hyderabad,600,90,81, Today
2144,Dr. Saguna Puttoo,Dermatologist,25,Dr. Saguna's Premier Dermatology Clinic,Kukatpally,Hyderabad,600,94,101, Today
2145,Dr. Brahmananda Reddy,Dermatologist,11,Vernon Skin Laser Slimming Hair Clinic,Banjara Hills,Hyderabad,800,94,327, Today
2147,Dr. Jyothsna,Dermatologist,12,"Curves Cosmetic Surgery, Skin & Laser Clinic",Saligramam,Chennai,700,96,142, Today
2148,Dr. Sukanya Mathupal,Dermatologist,23,Dr. Rela Institute & Medical Centre,Chromepet,Chennai,600,94,95, Today
2149,Dr. Meenakshi M,Dermatologist,11,Oliva Skin And Hair Clinic,Alwarpet,Chennai,600,99,74, Today
2150,Dr. Azra Fatima N,Dermatologist,11,Oliva Skin & Hair Clinic,Adyar,Chennai,600,99,76, Today
2151,Dr. Suryaprabha P,Dermatologist,10,Oliva Skin & Hair Clinic,Adyar,Chennai,600,100,86, Today
2152,Dr. Hari Priya A,Dermatologist,7,Oliva Skin & Hair Clinic,Anna Nagar,Chennai,600,100,93, Today
2153,Dr. Lakshmi M,Dermatologist,19,Oliva Skin & Hair Clinic,Anna Nagar,Chennai,600,98,86, Today
2154,Dr. Nivethitha S,Dermatologist,7,Oliva Skin And Hair Clinic,Alwarpet,Chennai,600,99,79, Today
2155,Dr. Lakshmi Durga M,Dermatologist,18,Oliva Skin & Hair Clinic,Anna Nagar,Chennai,600,99,100, Today
2156,Dr. Subhashini Mohan,Dermatologist,17,Apollo Spectra Hospital,Alwarpet,Chennai,1000,96,17, Today
2159,Dr. Deepam J. Shah,Dermatologist,13,Viva Aesthetic Clinic,Opera House,Mumbai,1500,96,244, Today
2160,Dr. Pratik Thacker,Dermatologist,13,CODE by Dr. Pratik Thacker,Borivali West,Mumbai,800,97,31, Today
2161,Dr. Pallavi Sule,Dermatologist,13,Dr. Pallavi Sule's Skin Hair Aesthetics Clinic,Powai,Mumbai,1000,95,70, Today
2162,Dr. Rameshwar Gutte,Dermatologist,19,Dermodent Clinic,Kanjurmarg,Mumbai,500,95,86, Today
2163,Dr. Resham Vasani Bhojani,Dermatologist,24,BHOJANI CLINIC,Matunga,Mumbai,1700,99,261, Today
2164,Dr. Kiran Katkar,Dermatologist,38,Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West,Mumbai,1200,93,130, Today
2165,Dr. Neha V Shah,Dermatologist,14,Skin Vogue Clinic,Ghatkopar East,Mumbai,1000,99,119, Today
2166,Dr. Vaishali Kanthi,Dermatologist,25,Luvayaa Skin Clinic,Bhandup West,Mumbai,800,87,56, Today
2167,Dr. Sejal Saheta,Dermatologist,19,Inurskn - Skin & Hair Clinic,Powai,Mumbai,1000,95,260, Today
2168,Dr. Pallavi Rathi,Dermatologist,19,My Skin My Health,Andheri East,Mumbai,1000,90,261, Today
2171,Dr. Pradeep Kumari,Dermatologist,20,Skin And Surgery International & Asia Institute Of Hair Transplant,Viman Nagar,Pune,700,96,670, Today
2172,Dr. Mohan Darbastwar,Dermatologist,16,The Skin Hair Laser & Cosmetology Clinic,Koregaon Park,Pune,600,97,255, Today
2173,Dr. Nandini Teli,Dermatologist,14,Alpha Superspeciality Hospital,Wakad,Pune,800,91,424, Today
2174,Dr. Nitin Jain,Dermatologist,21,Skin And Surgery International & Asia Institute Of Hair Transplant,Kothrud,Pune,700,97,334, Today
2175,Dr. Hetal Jobanputra,Dermatologist,18,Radiant Skin and Hair Clinic,Baner,Pune,600,97,331, Today
2176,Dr. Madhavi Krishnarao Salunkhe,Dermatologist,21,Oliva Skin and Hair Clinic,Shivajinagar,Pune,600,100,61, Today
2177,Dr. Amrin Jibrail Diwan,Dermatologist,11,Oliva Skin and Hair Clinic,Kalyani Nagar,Pune,600,99,80, Today
2178,Dr. Renuka Vinod Nalawade,Dermatologist,10,Reeva Skin Clinic,Kothrud,Pune,600,100,53, Today
2179,Dr. Yogeshree Kanase,Dermatologist,13,Doctor To Home & Clinic,Pimple Saudagar,Pune,600,96,31, Today
2180,Dr. Vanishree S. V,Dermatologist,14,Skinarina,Nigdi,Pune,700,83,79, Today
2183,Dr. Tapesh Sharma,Dermatologist,25,Twacha Skin Clinic,Dwarka,Delhi,1500,97,316, Today
2184,Dr. Navnit Haror,Dermatologist,10,Derma Miracle Skin And Hair Transplant Clinic,Greater Kailash Part 1,Delhi,1000,92,109, Today
2185,Dr. Shruti Gupta,Dermatologist,13,SKINOS,Kamla Nagar,Delhi,1000,99,1532, Today
2186,Dr. Syed Nazim Hussain,Dermatologist,18,Royal Lush Skin Hair & Laser Clinic,Saket,Delhi,1500,86,67, Today
2187,Dr. Sonia Mangal,Dermatologist,14,MYRA Skin & Hair Solutions,Panchsheel Park,Delhi,1500,96,142, Today
2188,Dr. Lipy Gupta,Dermatologist,18,Green Park Family Medicine Clinic,Green Park,Delhi,800,96,316, Today
2189,Dr. Vijay Singhal,Dermatologist,18,Zenith Skin Hair & Dental Centre,Punjabi Bagh,Delhi,800,93,152, Today
2190,Dr. Indu Ballani,Dermatologist,18,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1000,91,18, Today
2191,Dr. A J Kanwar,Dermatologist,52,Dr AJ Kanwar Skin Clinic,Greater Kailash Part 1,Delhi,1500,96,387, Today
2192,Dr. Deepti  Shrivastava,Dermatologist,28,Skin Hair & You,Anand Vihar,Delhi,800,95,319, Today
2194,Dr. Reeja Mariam George,Dermatologist,15,Oliva Skin & Hair Clinic,Park Street,Kolkata,600,100,71, Today
2195,Dr. Debatri Datta,Dermatologist,8,Oliva Skin & Hair Clinic,Salt Lake,Kolkata,600,97,104, Today
2196,Dr. Barnali Dutta,Dermatologist,27,Oliva Skin & Hair Clinic,Jodhpur Park,Kolkata,600,95,81, Today
2197,Dr. Nidhi jindal,Dermatologist,18,Oliva Skin & Hair Clinic,Salt Lake,Kolkata,600,97,42, Today
2198,Dr. Aarti Sarda,Dermatologist,16,AMRI Hospitals,Dhakuria,Kolkata,800,92,96, Today
2199,Dr. Anupam Das,Dermatologist,8,IRIS Hospital,Baghajatin,Kolkata,600,100,2, Today
2200,Dr. Khushbu Tantia,Dermatologist,10,La Derma Skin & Hair Clinic,Salt Lake,Kolkata,600,90,47, Today
2201,Dr. Tripathy Sanjita,Dermatologist,17,Oliva Skin & Hair Clinic,Park Street,Kolkata,600,86,13, Today
2202,Dr. Priyanka Aggarwal,Dermatologist,14,Re-Incarnation The Complete Skin Care Clinic,New Town,Kolkata,1000,93,43, Today
2203,Dr. Farhat Fatima,Dermatologist,7,Oliva Skin & Hair Clinic,Jodhpur Park,Kolkata,600,100,6, Today
2209,Dr. Vignessh Raj,Dermatologist,16,Dr. RAJ's Centre for Skin & Hair,Whitefield,Bangalore,700,98,286, Today
2214,Dr. Harish Prasad B.R,Dermatologist,16,Vitals Skin and Hair Klinic,BTM Layout,Bangalore,700,96,348, Today
2222,Dr. Srushanth Mukka,Dermatologist,11,Euderm Skin and Hair Clinic,Nanakramguda,Hyderabad,600,100,4, Today
2224,Dr. Venu Kumari,Dermatologist,18,Dr. Venus Insititue of Skin & Hair,Chanda Nagar,Hyderabad,500,86,917, Today
2238,Dr. Rajesh Verma,Ayurveda,28,Bliss Medicare Centre,Vadapalani,Chennai,600,95,161, Today
2244,Dr. Vaishali Kanthi,Dermatologist,25,Luvayaa Skin Clinic,Bhandup West,Mumbai,800,87,56, Today
2249,Dr. Suraj Shetty,Dermatologist,14,Tvaksh Advanced Skin And Hair Clinic,Andheri West,Mumbai,900,98,61, Today
2252,Dr. Mohan Darbastwar,Dermatologist,16,The Skin Hair Laser & Cosmetology Clinic,Koregaon Park,Pune,600,97,255, Today
2254,Dr. P Madhu Rao,Ayurveda,15,Sushrut Piles Clinic,Pimpri-Chinchwad,Pune,500,100,39, Today
2256,Dr. Yogesh Wankhede,Ayurveda,8,Jeevak Ayurveda & Holistic Centre,Aundh,Pune,300,96,73, Today
2257,Dr. Kavita Bhapkar,Homoeopath,14,Sparsh Homoeopathic Clinic and Polyclinic,Hadapsar,Pune,500,96,96, Today
2258,Dr. Abdul Mateen M Ayyub,Dermatologist,12,Apollo Clinic,Wanowrie,Pune,500,98,37, Today
2259,Dr. Syam Bhargavan,Ayurveda,23,Muppra Kerala Ayurvedic,Magarpatta City,Pune,500,96,166, Today
2260,Dr. Pooja Tilwani,Dermatologist,14,The Skin Doctors,Pimple Saudagar,Pune,700,94,602, Today
2261,Dr. Shailesh Doshi,Homoeopath,23,HomeoCure™ Homeopathy Clinic,Sadashiv Peth,Pune,500,95,237, Today
2263,Dr. Pranjal Joshi,Dermatologist,12,Varsity Skin And Wellness Clinic,Shivalik,Delhi,900,95,27, Today
2264,Dr. Monica Chahar,Dermatologist,13,Skin Decor,Dwarka Sector 19,Delhi,700,98,175, Today
2265,Dr. Kanu Verma,Dermatologist,21,Aastha Medicare,Dwarka,Delhi,1000,93,75, Today
2268,Dr. Ruchi Arora,Homoeopath,15,Afecto Homeopathy,Green Park,Delhi,500,89,16, Today
2271,Dr. Shruti Gupta,Dermatologist,13,SKINOS,Kamla Nagar,Delhi,1000,99,1532, Today
2274,Dr. Aarti Sarda,Dermatologist,16,AMRI Hospitals,Dhakuria,Kolkata,800,92,96, Today
2275,Dr. Niraj Jain,Dermatologist,13,Dr. Jain Skin & Hair Care Clinic,Gokhel Road,Kolkata,500,94,92, Today
2276,Dr. Supra Paul,Homoeopath,22,Dr Batra's Positive Health Clinic Pvt Ltd,Minto Park,Kolkata,450,100,8, Today
2278,Dr. Shahid Shaikh,Homoeopath,18,Dr Batra's Positive Health Clinic Pvt Ltd,Salt Lake,Kolkata,450,100,1, Today
2280,Dr. Abhishek Chaturvedi,Homoeopath,12,Dr Batra's Positive Health Clinic Pvt Ltd,Behala,Kolkata,450,86,6, Today
2287,Dr. Deepak Devakar,Dermatologist,19,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98,580, Today
2289,Dr. Sankeerth Vijayakumar,Dermatologist,13,Dermaville,HSR Layout,Bangalore,600,97,156, Today
2291,Dr. Janet Alexander Castelino,Dermatologist,30,DermaZeal Clinic,HSR Layout,Bangalore,1000,92,3318, Today
2292,Dr. Sandeep Mahapatra,Dermatologist,18,Derma Solutions,Marathahalli,Bangalore,800,90,930, Today
2293,Dr. Shashidhar T,Dermatologist,16,Dermacare Skin & Hair Clinic,Jayanagar 4 Block,Bangalore,700,98,703, Today
2295,Dr. Harish Prasad B.R,Dermatologist,16,Vitals Skin and Hair Klinic,BTM Layout,Bangalore,700,96,348, Today
2302,Dr. Madhavi Pudi,Dermatologist,16,Dr. Madhavis Advanced Skin Hair and Laser Clinic,Balkampet,Hyderabad,800,91,554, Today
2304,Dr. Meghana,Dermatologist,20,Oliva Skin & Hair Clinic,Banjara Hills,Hyderabad,600,99,111, Today
2305,Dr. P. Haritha,Dermatologist,17,My Skin Hair & Cosmetology Clinic,Alwal,Hyderabad,500,79,11, Today
2309,Dr. Ganga Ravikumar,Dermatologist,33,Dermis Skin & Hair Clinic,Adyar,Chennai,700,96,255, Today
2311,Dr. Ariganesh,Dermatologist,16,Derma Clinix,Mylapore,Chennai,500,89,69, Today
2315,Dr. A.Selvam,Dermatologist,28,Fortis Malar Hospital,Adyar,Chennai,500,67,3, Today
2316,Dr. Rajkumar Kannan,Dermatologist,17,Fortis Malar Hospital,Adyar,Chennai,500,100,12, Today
2317,Dr. Narayanamurthy,General Physician,39,Vbn Murthy,Alwarpet,Chennai,750,99,38, Today
2318,Dr. Amudha,Dermatologist,28,Amudha's Skin Care Clinic,Velachery,Chennai,350,96,146, Today
2324,Dr. Mohd Asif,Dermatologist,11,Cara Hair Transplant and Aesthetic Center,Santacruz West,Mumbai,1000,100,105, Today
2325,Dr. Suraj Shetty,Dermatologist,14,Tvaksh Advanced Skin And Hair Clinic,Andheri West,Mumbai,900,98,61, Today
2328,Dr. Haresh  Timbadia,Dermatologist,42,Bienaura Clinic,Borivali West,Mumbai,1200,95,76, Today
2334,Dr. Sonal Chavan,Dermatologist,17,Dr. Sonnal Chavaan Aesthetic Clinic,Pimple Saudagar,Pune,700,90,396, Today
2336,Dr. Geeta N Parwani,Homoeopath,27,Healing Touch Multispeciality Clinic ,Viman Nagar,Pune,800,95,93, Today
2348,Dr. Gaurav Garg,Dermatologist,16,Dermalife Skin Hair Clinic,Green Park,Delhi,1200,92,100, Today
2349,Dr. Navnit Haror,Dermatologist,10,Derma Miracle Skin And Hair Transplant Clinic,Greater Kailash Part 1,Delhi,1000,92,109, Today
2354,Dr. Niraj Jain,Dermatologist,13,Dr. Jain Skin & Hair Care Clinic,Gokhel Road,Kolkata,500,94,92, Today
2357,Dr. Aarti Sarda,Dermatologist,16,Wizderm Speciality Skin And Hair Clinic.,Jodhpur Park,Kolkata,700,92,96, Today
2360,Dr. Rohan Das,Dermatologist,6,GLO - Art Of Medicine,New Alipore,Kolkata,500,100,13, Today
2361,Dr. Indrashis Podder,Dermatologist,11,Royed Nursing Home,Park Street,Kolkata,500,80,3, Today
2366,Dr. Rashmi Shetty,Dentist,18,Chisel Dental,Koramangala,Bangalore,500,99,2690, Today
2367,Dr. Anjali Shetty,Dentist,21,Dental and Orthodontic Clinic,Kalyan Nagar,Bangalore,500,99,239, Today
2368,Dr. Sumanth Shetty,Dentist,24,Chisel Dental,Koramangala,Bangalore,500,97,2602, Today
2369,Dr. Ganesh Shetty,Dentist,25,Dental and Orthodontic Clinic,Kalyan Nagar,Bangalore,500,98,956, Today
2370,Dr. Akshai Shetty,Dentist,26,Aesthete Lifestyle Dentistry,HSR Layout,Bangalore,500,97,101, Today
2371,Dr. Baswaraj Biradar,Dentist,26,Impressions Dental Specialities,Sahakaranagar,Bangalore,500,99,425, Today
2372,Dr. Sunil Rao,Dentist,27,Smile Dental Care,Vijayanagar,Bangalore,500,98,200, Today
2373,Dr. Vivekananda Reddy,Dentist,22,Smile Craft Dental and Implant Centre,Hoodi,Bangalore,500,100,29, Today
2374,Dr. Rajkumar G.C,Dentist,28,Raj Kumar's Dental And Implant Centre,Basavanagudi,Bangalore,500,99,190, Today
2375,Dr. Prafulla Biradar,Dentist,22,Impressions Dental Specialities,Sahakaranagar,Bangalore,500,99,79, Today
2378,Dr. Sahaja Reddy,Dentist,13,Sahaja Dental Clinic,Mansoorabad,Hyderabad,500,99,109, Today
2379,Dr. G.Chandra Sekhar,Dentist,33,Dr. G Chandra Sekhar's Dental Hospital,Himayat Nagar,Hyderabad,500,98,104, Today
2380,Dr. Manchana Ashok Kumar,Dentist,17,Eledent International Dental Hospital,Kondapur,Hyderabad,300,98,122, Today
2381,Dr. S Sreedhar Reddy,Dentist,24,Esthetix Dental ,West Marredpally,Hyderabad,500,100,104, Today
2382,Dr. Sneha Lakshmi Nagineni,Dentist,13,Dantam - The Dental Lounge,Gachibowli,Hyderabad,500,98,660, Today
2383,Dr. M Sridhar,Dentist,23,Dental 360,Kondapur,Hyderabad,500,99,265, Today
2384,Dr. Nadeem Qadri,Dentist,14,Dentadura A Multi Speciality Dental Center,Tolichowki,Hyderabad,500,99,167, Today
2385,Dr. Chandrashekhar Reddy,Dentist,24,Sri Sai Dental Hospital,Chanda Nagar,Hyderabad,500,98,10, Today
2386,Dr. Adusumilli Gopinath,Dentist,24,Winning Smiles Dental Lounge,Gachibowli,Hyderabad,500,98,310, Today
2387,Dr. K Sravani Reddy,Dentist,12,SmilenGlow Dental and Skin Hospital,Karkhana,Hyderabad,500,98,69, Today
2390,Dr. Subashini,Dentist,16,Dew Cosmetic Clinic,Valasaravakkam,Chennai,500,100,83, Today
2391,Dr. Roshan Rayen,Dentist,23,Rayen Dental Care Center,Nungambakkam,Chennai,500,98,200, Today
2392,Dr. Vivek Pandian,Dentist,11,Dr Vivek's MSRam's Dentistry,Chromepet,Chennai,500,98,235, Today
2393,Dr. P.Uma Devi,Dentist,18,Uma's Dental Care,Valasaravakkam,Chennai,250,99,46, Today
2394,Dr. T. Sivasankari,Dentist,20,Harsini Dental Clinic,Mogappair,Chennai,500,90,26, Today
2395,Dr. E. Sarath Chandar,Dentist,28,Sarath Dental Clinic,Thiruvanmiyur,Chennai,500,99,213, Today
2396,Dr. Balaji K,Dentist,27,KB DENTAL CLINIC ORTHODONTIC AND IMPLANT CENTER,Anna Nagar,Chennai,600,100,64, Today
2397,Dr. Gopi Krishna,Dentist,27,Root Canal Foundation,Anna Nagar,Chennai,500,98,167, Today
2398,Dr. Subramoniam S,Dentist,20,Lakshmi Dental Care,Porur,Chennai,500,100,229, Today
2399,Dr. M.Srikanth,Dentist,22,Smile Solutions Family Dentistry,Chromepet,Chennai,500,98,585, Today
2402,Dr. Ashitesh Kumar,Dentist,12,Dental Home-A Multi-Specialty Dental Clinic,Chembur East,Mumbai,500,100,133, Today
2403,Dr. Rajiv Rajan,Dentist,24,Raj Dental Clinic,Chembur East,Mumbai,500,100,118, Today
2404,Dr. Shantanu Jambhekar,Dentist,16,Smilessence Center for Advanced Dentistry,Parel,Mumbai,500,99,93, Today
2405,Dr. Nikhil Surana,Dentist,14,Bright 32 Dental Care & Orthodontic Centre,Kandivali East,Mumbai,500,96,27, Today
2406,Dr. Amar Ravjiani,Dentist,31,Jaws-N-Joints Dental Health And Wellness Centre,Ghatkopar East,Mumbai,750,98,142, Today
2407,Dr. Pallavi Kendrekar,Dentist,25,Synergy Dental Clinics,Borivali West,Mumbai,800,98,114, Today
2408,Dr. Suhani Talesara,Dentist,14,Dr. Suhani's Dr. Dentist Multispeciality Dental Clinic,Jogeshwari,Mumbai,500,100,212, Today
2409,Dr. Rajendra Sankpal,Dentist,31,Dr Sankpals Dental Center,Powai,Mumbai,600,96,114, Today
2410,Dr. Suhas Lele,Dentist,42,SmilesForever By Dr Suhas Lele,Prabhadevi,Mumbai,500,98,30, Today
2411,Dr. Vipin L Mahurkar,Dentist,26,Synergy Dental Clinics,Borivali West,Mumbai,800,98,109, Today
2414,Dr. Puja Bansal,Dentist,24,Prudent International Health Clinic,Kalyani Nagar,Pune,500,97,681, Today
2415,Dr. Ganesh,Dentist,14,DentalTree (Implants - Cosmetics - Lasers),Aundh,Pune,500,97,273, Today
2416,Dr. Surbhi Bhatia L,Dentist,18,Lifeberries Health,Viman Nagar,Pune,500,97,370, Today
2417,Dr. Shardul Sontakke,Dentist,23,Smile Gallery Dental Care Centre,Kothrud,Pune,500,99,142, Today
2418,Dr. Gaurav Gupta,Dentist,19,Fresh Smiles,Wanowrie,Pune,500,99,55, Today
